Order,Predictability,PP1_predictability,PP2_predictability,Len_diff,PP1_len,PP2_len,PP1_distance,PP2_distance,Distance_diff
1,0.891388863351025,5.7033774636008525,5.083927154541016,1,2,3,1,3,2
1,1.002406145928484,4.938146737905649,4.9500286395733175,0,2,2,2,4,2
1,1.0785062147986917,4.103583305112777,4.425740097508286,2,2,4,1,3,2
1,0.9399145823759831,5.613087336222331,5.275822639465332,0,2,2,1,3,2
1,0.9715368851557623,4.0035788796164775,3.8896245541779892,1,5,6,1,6,5
1,1.0332764836907309,4.650003144235322,4.804738898026316,5,2,7,1,3,2
1,1.0523473327634054,5.0164039611816404,5.278999328613281,1,2,3,3,5,2
1,1.0023284818864164,3.793078286307199,3.801910400390625,1,3,4,1,4,3
1,1.0127420342897462,4.817282104492188,4.878664078251008,1,4,5,4,8,4
1,1.0512454094182415,5.794180188860212,6.0911053248814175,0,4,4,1,8,7
1,0.967610289542609,4.739169597625732,4.585669266550164,3,3,6,1,4,3
1,0.9622552801749419,4.576169150216239,4.403442927769253,0,2,2,1,3,2
1,1.1126516763357301,4.306831808651195,4.792003631591797,3,6,9,1,7,6
1,0.9422740378596317,4.4851318359375,4.226223285381611,1,2,3,1,3,2
1,0.9618524222616204,4.985472954644097,4.795289237544222,8,3,11,1,4,3
1,1.0105919376192944,4.5308854386613175,4.578876294587788,1,3,4,1,4,3
1,0.9907796367723705,3.9838709513346355,3.947138214111328,5,2,7,3,5,2
1,1.0500960886034205,5.542090521918403,5.8197275797526045,0,3,3,2,5,3
1,1.0506261692308796,2.8237195696149553,2.9666736744068287,-1,3,2,1,4,3
1,0.8416804237018867,5.468087629838423,4.602382313121449,11,4,15,3,7,4
1,1.0297860094293598,5.447418799767127,5.609675667502663,-4,7,3,2,9,7
1,1.1003192112502795,4.46900646503155,4.917333668675916,3,3,6,2,6,4
1,1.2995110680284925,3.57103370217716,4.640597820281982,-1,5,4,1,7,6
1,1.0452356363999504,4.858908081054688,5.078703880310059,6,5,11,1,6,5
1,0.8507308803675009,4.421672185262044,3.76165307086447,-1,4,3,1,5,4
1,1.01271087242094,4.579965111517137,4.638180463741987,1,4,5,7,10,3
1,0.9374942107647417,4.519157409667969,4.236683909098307,5,5,10,1,8,7
1,1.0138594560037912,4.0794954042176945,4.136034991290118,0,3,3,2,5,3
1,1.1162667808793136,4.005503220991655,4.471210186298077,-5,7,2,14,21,7
1,1.0574981615211885,4.074625015258789,4.308908462524414,0,3,3,1,4,3
1,1.01584840260827,3.680288791656494,3.738615490141369,5,2,7,1,3,2
1,0.5762478746096192,4.403795030381945,2.537677526473999,-1,4,3,1,5,4
1,0.9611945506450833,5.230924288431804,5.02793592087766,-1,4,3,1,5,4
1,0.9606277074914835,4.526865178888494,4.348632118918679,0,2,2,1,3,2
1,1.145386141250397,3.7000318254743303,4.237965175083706,0,2,2,1,3,2
1,0.9923407401847489,4.247709173905222,4.215174865722656,2,4,6,1,5,4
1,0.8383494734087394,5.203573608398438,4.362413194444445,-2,8,6,1,13,12
1,0.9520177612205246,4.613910001866958,4.392524270450368,0,5,5,1,14,13
1,1.148223984451985,3.8912695522966056,4.468049029914701,20,5,25,1,6,5
1,0.9091740796599946,5.03907615260074,4.581397423377404,-6,10,4,1,11,10
1,1.0517651843423885,4.859376173753005,5.110922677176339,1,2,3,4,6,2
1,1.111653348213834,5.025326199001736,5.5864206949869795,6,4,10,1,6,5
1,1.0117798270824792,4.545231587177998,4.598773629324777,-2,6,4,2,7,5
1,1.0042982787344157,5.102582364468961,5.124514685736762,-1,4,3,1,6,5
1,0.778807576573545,5.248805999755859,4.087809880574544,0,3,3,2,5,3
1,0.9908381103713193,3.6970901489257812,3.6632178170340404,6,2,8,1,3,2
1,1.1567982800657592,6.167625427246094,7.134698486328125,4,3,7,1,5,4
1,1.0386722944336526,5.176167668523015,5.376341948638091,0,2,2,1,3,2
1,0.9301605110674094,4.867450651575307,4.527510385664683,2,2,4,1,3,2
1,1.0495905226189788,4.31947766817533,4.533682823181152,6,2,8,1,3,2
1,0.8868979337571959,6.119531419542101,5.427399771554129,-4,6,2,1,9,8
1,0.9895254068278064,4.55040781121505,4.502744140625,6,3,9,1,4,3
1,1.0183856982168393,4.292075157165527,4.370987955729166,-2,4,2,1,5,4
1,0.9984868519435031,4.639406840006511,4.6323867305632564,1,2,3,1,5,4
1,1.1255267367604695,4.127505909312855,4.6456182570684526,-1,3,2,3,6,3
1,0.7901690839038995,4.5719146728515625,3.6125856287339153,3,3,6,1,4,3
1,0.9057916135750363,3.7763197157118054,3.420558728669819,1,3,4,2,6,4
1,1.22467436144058,4.7507758507361775,5.818153381347656,1,2,3,1,3,2
1,1.089675970143189,4.548999633789062,4.956935589130108,1,3,4,1,6,5
