VERB_lemma	VERB_lexical	Prep_lemma	Prep_lexical	PP_head_lemma	PP_head_lexical	PP_head_POS
employ	employ	in	in	1960	1960s	NOUN
work	working	in	in	Vietnam	Vietnam	PROPN
assassinate	assassinated	in	in	district	district	NOUN
demonstrate	demonstrated	on	on	Friday	Friday	PROPN
run	running	on	on	grounds	grounds	NOUN
marginalize	marginalized	despite	despite	tie	ties	NOUN
recall	recalled	in	in	month	months	NOUN
continue	continues	in	in	city	city	NOUN
surround	surrounded	for	for	day	days	NOUN
sign	signed	on	on	website	website	NOUN
promote	promoted	in	in	release	release	NOUN
throw	thrown	against	against	Taliban	Taliban	PROPN
catapult	catapult	as	as	ally	allies	NOUN
run	run	in	in	election	election	NOUN
refer	referring	as	as	Lee	Lee	PROPN
take	taking	for	for	comment	comments	NOUN
make	made	because	because	anger	anger	NOUN
come	came	as	as	warmonger	warmonger	NOUN
play	play	in	in	2002	2002	NUM
bring	bringing	in	in	fall	fall	NOUN
withdraw	withdrew	in	in	May	May	PROPN
side	side	against	against	Israel	Israel	PROPN
get	get	in	in	future	future	NOUN
trade	trading	with	with	Palestinians	Palestinians	PROPN
back	backed	in	in	election	elections	NOUN
hold	held	without	without	success	success	NOUN
hold	held	in	in	effort	effort	NOUN
deploy	deployed	in	in	north	north	NOUN
pull	pull	in	in	1989	1989	NUM
negotiate	negotiated	without	without	constraint	constraints	NOUN
back	backed	in	in	election	elections	NOUN
separate	separated	by	by	Straits	Straits	PROPN
even	even	for	for	defeat	defeat	NOUN
indulge	indulged	in	in	2002	2002	NUM
impugn	impugned	on	on	document	documents	NOUN
see	saw	between	between	March	March	PROPN
send	sent	by	by	friend	friend	NOUN
show	show	in	in	Alabama	Alabama	PROPN
focus	focus	to	to	exclusion	exclusion	NOUN
fly	flew	in	in	1970	1970	NUM
engage	engaging	over	over	media	media	NOUN
make	made	on	on	TV	TV	PROPN
root	rooting	in	in	attempt	attempt	NOUN
return	return	within	within	hour	hours	NOUN
take	taken	by	by	official	officials	NOUN
seem	seem	to	to	people	people	NOUN
stifle	stifled	in	in	book	book	NOUN
have	had	in	in	November	November	PROPN
have	have	with	with	murder	murder	NOUN
feature	featured	in	in	Germany	Germany	PROPN
look	looking	as	as	option	option	NOUN
come	came	after	after	tsunami	tsunami	NOUN
deteriorate	deteriorated	in	in	tandem	tandem	NOUN
operate	operating	through	through	Bangladesh	Bangladesh	PROPN
provide	providing	against	against	rebel	rebels	NOUN
operate	operating	for	for	time	time	NOUN
carry	carried	after	after	request	requests	NOUN
report	reported	in	in	2001	2001	NUM
leave	left	aboard	aboard	freighter	freighter	NOUN
change	changed	to	to	Horizon	Horizon	PROPN
intercept	intercepted	off	off	coast	coast	NOUN
construct	constructing	on	on	island	island	NOUN
transport	transported	to	to	Bhutan	Bhutan	PROPN
stretch	Stretching	to	to	end	end	NOUN
suffer	suffered	from	from	neighbour	neighbours	NOUN
focus	focused	with	with	Pakistanis	Pakistanis	PROPN
kill	killed	since	since	March	March	PROPN
pose	posing	in	in	Iraq	Iraq	PROPN
drink	drinking	into	into	hour	hours	NOUN
kill	killing	in	in	Iraq	Iraq	PROPN
appear	appeared	on	on	March	March	PROPN
suffer	suffer	in	in	period	period	NOUN
fulfil	fulfilled	in	in	1970	1970s	NOUN
come	came	at	at	urging	urging	NOUN
talk	talk	about	about	it	it	PRON
rent	rented	with	with	damage	damage	NOUN
blast	blasted	in	in	2003	2003	NUM
sink	sinks	beneath	beneath	triviality	triviality	NOUN
be	was	during	during	murder	murders	NOUN
exist	existed	under	under	eye	eye	NOUN
separate	separated	in	in	1890	1890	NUM
charge	charged	with	with	assault	assault	NOUN
talk	talked	about	about	end	end	NOUN
create	create	in	in	preparation	preparation	NOUN
die	died	after	after	fall	fall	NOUN
jump	jumping	without	without	backup	backup	NOUN
find	found	by	by	one	one	NUM
give	given	before	before	board	board	NOUN
deliver	delivered	at	at	meeting	meeting	NOUN
live	lived	for	for	year	years	NOUN
touch	touch	in	in	passing	passing	NOUN
refer	refer	as	as	III	III	PROPN
die	died	since	since	occupation	occupation	NOUN
show	shown	in	in	detail	detail	NOUN
be	are	in	in	culture	cultures	NOUN
arrive	arrive	in	in	way	way	NOUN
condemn	condemn	in	in	front	front	NOUN
define	defined	as	as	demonstration	demonstration	NOUN
refer	refer	as	as	activist	activists	NOUN
walk	walks	in	in	mid-day	mid-day	NOUN
live	lives	with	with	daughter	daughter	NOUN
receive	receives	from	from	Authority	Authority	PROPN
move	moves	to	to	another	another	DET
leave	leave	as	as	homework	homework	NOUN
encircle	encircled	by	by	States	States	PROPN
react	react	to	to	sign	sign	NOUN
isolate	isolated	in	in	1980	1980	NUM
send	sent	to	to	branch	branches	NOUN
confiscate	confiscated	during	during	arrest	arrest	NOUN
describe	described	to	to	reporter	reporter	NOUN
isolate	isolated	in	in	1980	1980	NUM
have	had	from	from	1995	1995	NUM
purchase	purchased	through	through	Front	Front	PROPN
know	known	for	for	decade	decade	NOUN
narrow	narrowed	to	to	4	4	NUM
point	point	as	as	extraordinary	extraordinary	ADJ
tell	told	of	of	inquiry	inquiries	NOUN
meet	met	in	in	January	January	PROPN
stay	stayed	in	in	2000	2000	NUM
travel	traveling	in	in	October	October	PROPN
arrest	arrested	upon	upon	return	return	NOUN
spot	spotted	in	in	March	March	PROPN
leave	left	at	at	end	end	NOUN
be	was	with	with	child	children	NOUN
foist	foisted	by	by	Chalabi	Chalabi	PROPN
target	targeted	because	because	appropriation	appropriations	NOUN
contain	contained	in	in	letter	letter	NOUN
send	sent	to	to	office	offices	NOUN
capture	captured	in	in	mid-february	mid-February	NOUN
send	sent	in	in	Zealand	Zealand	PROPN
go	go	in	in	heart	hearts	NOUN
use	used	in	in	correspondence	correspondence	NOUN
delay	delay	until	until	October	October	PROPN
take	taking	on	on	August	August	PROPN
work	working	for	for	week	week	NOUN
make	made	for	for	6:30	6:30	NUM
make	made	for	for	6:30	6:30	NUM
send	sent	for	for	option	options	NOUN
look	look	for	for	I	me	PRON
rate	rated	at	at	level	level	NOUN
create	created	for	for	acquistion	acquistion	NOUN
bite	bite	with	with	one	one	NOUN
bite	bite	with	with	one	one	NOUN
perform	performed	in	in	project	project	NOUN
have	have	in	in	January	January	PROPN
circulate	circulated	to	to	controller	controllers	NOUN
participate	participate	on	on	Monday	Monday	PROPN
purchase	purchasing	@	@	2.975	2.975	NUM
purchase	purchasing	@	@	2.975	2.975	NUM
transmit	transmitted	from	from	Corporation	Corporation	PROPN
make	make	on	on	Monday	Monday	PROPN
take	take	for	for	approval	approval	NOUN
take	taking	under	under	#	#	SYM
deliver	deliver	for	for	approval	approval	NOUN
get	get	with	with	speaker	speakers	NOUN
see	see	at	at	am	am	NOUN
get	get	at	at	office	office	NOUN
spend	spend	on	on	Friday	Friday	PROPN
work	work	in	in	group	group	NOUN
say	say	because	because	pressure	pressures	NOUN
transmit	transmitted	on	on	January	January	PROPN
transmit	transmitted	on	on	19th	19th	NOUN
speak	speak	after	after	offsite	offsite	NOUN
submit	submitted	via	via	website	Website	NOUN
submit	submitted	via	via	website	Website	NOUN
set	set	on	on	website	Website	NOUN
set	set	on	on	website	Website	NOUN
move	moving	to	to	Miami	Miami	PROPN
talk	talk	before	before	meeting	meeting	NOUN
meet	meet	in	in	September	September	PROPN
host	hosting	at	at	pm	PM	NOUN
make	made	over	over	decade	decade	NOUN
visit	visit	on	on	14th	14th	NOUN
accept	accepted	for	for	loss	loss	NOUN
arise	arising	from	from	use	use	NOUN
plant	plant	before	before	rain	rain	NOUN
lay	lay	on	on	blanket	blanket	NOUN
get	get	in	in	time	time	NOUN
bring	bring	for	for	countersignature	countersignature	NOUN
talk	talk	about	about	issue	issue	NOUN
work	working	with	with	Susan	Susan	PROPN
speak	spoke	about	about	authority	authority	NOUN
sign	signed	as	as	measure	measure	NOUN
hear	heard	in	in	while	while	NOUN
go	going	during	during	part	part	NOUN
manage	managed	over	over	year	years	NOUN
run	ran	at	at	LW	LW	PROPN
drive	driven	on	on	occasion	occasions	NOUN
perform	performing	at	at	Center	Center	PROPN
meet	meet	in	in	place	place	NOUN
hear	heard	in	in	Amsterdam	Amsterdam	PROPN
drive	Drive	through	through	Nice	Nice	PROPN
send	send	at	at	Taylor	Taylor	PROPN
receive	received	for	for	review	review	NOUN
put	putting	to	to	you	you	PRON
get	got	with	with	Hai	Hai	PROPN
make	make	in	in	regards	regards	NOUN
get	got	with	with	Hai	Hai	PROPN
make	make	in	in	regards	regards	NOUN
have	have	at	at	pm	pm	NOUN
respond	responded	via	via	email	email	NOUN
propose	propose	for	for	year	year	NOUN
host	hosting	at	at	House	House	PROPN
range	range	on	on	number	number	NOUN
have	had	with	with	Sue	Sue	PROPN
follow	following	on	on	issue	issues	NOUN
speak	speaking	in	in	SF	SF	PROPN
ship	shipped	to	to	party	parties	NOUN
distribute	distributed	for	for	comment	comment	NOUN
base	based	with	with	basis	basis	NOUN
